Beginning 75 Round Collision Test
Trial #01:	332th hash
Trial #02:	595th hash
Trial #03:	223th hash
Trial #04:	414th hash
Trial #05:	558th hash
Trial #06:	311th hash
Trial #07:	127th hash
Trial #08:	536th hash
Trial #09:	225th hash
Trial #10:	777th hash
Trial #11:	219th hash
Trial #12:	472th hash
Trial #13:	330th hash
Trial #14:	220th hash
Trial #15:	243th hash
Trial #16:	182th hash
Trial #17:	7th hash
Trial #18:	415th hash
Trial #19:	231th hash
Trial #20:	590th hash
Trial #21:	350th hash
Trial #22:	301th hash
Trial #23:	257th hash
Trial #24:	213th hash
Trial #25:	426th hash
Trial #26:	339th hash
Trial #27:	516th hash
Trial #28:	222th hash
Trial #29:	236th hash
Trial #30:	590th hash
Trial #31:	378th hash
Trial #32:	156th hash
Trial #33:	395th hash
Trial #34:	393th hash
Trial #35:	304th hash
Trial #36:	303th hash
Trial #37:	471th hash
Trial #38:	125th hash
Trial #39:	223th hash
Trial #40:	247th hash
Trial #41:	440th hash
Trial #42:	350th hash
Trial #43:	164th hash
Trial #44:	517th hash
Trial #45:	559th hash
Trial #46:	581th hash
Trial #47:	345th hash
Trial #48:	296th hash
Trial #49:	600th hash
Trial #50:	467th hash
Trial #51:	198th hash
Trial #52:	185th hash
Trial #53:	357th hash
Trial #54:	50th hash
Trial #55:	393th hash
Trial #56:	130th hash
Trial #57:	358th hash
Trial #58:	335th hash
Trial #59:	484th hash
Trial #60:	73th hash
Trial #61:	286th hash
Trial #62:	645th hash
Trial #63:	470th hash
Trial #64:	227th hash
Trial #65:	415th hash
Trial #66:	186th hash
Trial #67:	233th hash
Trial #68:	453th hash
Trial #69:	675th hash
Trial #70:	353th hash
Trial #71:	336th hash
Trial #72:	255th hash
Trial #73:	226th hash
Trial #74:	424th hash
Trial #75:	439th hash

Expected avg number of hashes: 256
Actual avg number of hashes: 346.09
